,available boarding points,departure time,travel date,bus_co,created_at,destination,origin,price,search_date,search_destination,search_origin,seats_remaining
142,Cheptais,06:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:48:34.436117,Total,Turbo,800,2019-09-05,Total,Turbo,67.0
143,Cheptais,07:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:48:34.436136,Total,Turbo,800,2019-09-05,Total,Turbo,67.0
144,Cheptais,07:10 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:48:34.436139,Total,Turbo,800,2019-09-05,Total,Turbo,48.0
145,MBALE,08:30 AM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:48:37.643444,Kisumu,Mbale,200,2019-09-05,Kisumu,Mbale,30.0
146,MBALE,08:30 PM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:48:37.643463,Kisumu,Mbale,200,2019-09-05,Kisumu,Mbale,23.0
147,Kangemi,09:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:48:41.243068,Kapenguria,Kangemi,1000,2019-09-05,Kapenguria,Kangemi,47.0
148,Kangemi,09:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:48:41.243095,Kapenguria,Kangemi,1000,2019-09-05,Kapenguria,Kangemi,48.0
149,Country Bus,09:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:48:43.847954,Lugulu,Nakuru,1000,2019-09-05,Lugulu,Nakuru,48.0
150,Country Bus,09:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:48:49.363732,Jua Kali,Country Bus,1000,2019-09-05,Jua%20kali,Country%20bus,48.0
151,Country Bus,09:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:48:51.534000,Wamono,Westlands,1000,2019-09-05,Wamono,Westlands,48.0
152,Cheptais,05:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:48:53.775149,Total,Tulienge,1000,2019-09-05,Total,Tulienge,65.0
153,Cheptais,05:30 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:48:53.775169,Total,Tulienge,1000,2019-09-05,Total,Tulienge,66.0
154,Cheptais,06:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:48:53.775172,Total,Tulienge,800,2019-09-05,Total,Tulienge,67.0
155,Cheptais,07:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:48:53.775174,Total,Tulienge,800,2019-09-05,Total,Tulienge,67.0
