,available boarding points,departure time,travel date,bus_co,created_at,destination,origin,price,search_date,search_destination,search_origin,seats_remaining
14597,Bishop Muge,09:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:21:58.177681,Nakuru,Kitale,1000,2019-08-28,Nakuru,Kitale,48.0
14598,Bishop Muge,09:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:21:58.177683,Nakuru,Kitale,600,2019-08-28,Nakuru,Kitale,67.0
14599,Country Bus,09:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:22:00.384914,Lugulu,Westlands,1000,2019-08-28,Lugulu,Westlands,48.0
14600,Bishop Muge,09:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:22:03.373599,Main Office,Eldoret,1000,2019-08-28,Main%20Office,Eldoret,48.0
14601,Bishop Muge,09:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:22:03.373616,Main Office,Eldoret,600,2019-08-28,Main%20Office,Eldoret,67.0
14602,Country Bus,09:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:22:08.166376,Kipkaren,Uthiru,1000,2019-08-28,Kipkaren,Uthiru,48.0
14603,Bukembe,08:00 AM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:22:11.671122,Westlands,Webuye,700,2019-08-28,Westlands,Webuye,67.0
14604,Bukembe,08:00 AM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:22:11.671140,Westlands,Webuye,800,2019-08-28,Westlands,Webuye,48.0
14605,Chwele,06:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:22:11.671143,Westlands,Webuye,700,2019-08-28,Westlands,Webuye,67.0
14606,Chwele,07:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:22:11.671146,Westlands,Webuye,700,2019-08-28,Westlands,Webuye,67.0
14607,Chwele,07:10 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:22:11.671148,Westlands,Webuye,700,2019-08-28,Westlands,Webuye,48.0
14608,Bukembe,08:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:22:11.671151,Westlands,Webuye,700,2019-08-28,Westlands,Webuye,67.0
14609,Bukembe,08:30 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:22:11.671153,Westlands,Webuye,800,2019-08-28,Westlands,Webuye,48.0
14610,Country Bus,09:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:22:15.987849,Kimilili,Kangemi,1000,2019-08-28,Kimilili,Kangemi,48.0
14611,Ywca,06:00 AM,"Wed,Aug 28,2019",East African Shuttles,2019-08-18 01:22:18.008404,Parkside Hotel,YWCA,3000,2019-08-28,Parkside%20hotel,YWCA,22.0
14612,Bishop Muge,09:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:22:21.269588,Nakuru,Village Inn,1000,2019-08-28,Nakuru,Village%20Inn,48.0
14613,Bishop Muge,09:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:22:21.269617,Nakuru,Village Inn,600,2019-08-28,Nakuru,Village%20Inn,67.0
14614,Country Bus,09:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:22:22.905939,Sirisia,Nakuru,1000,2019-08-28,Sirisia,Nakuru,48.0
14615,Bishop Muge,09:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:22:25.943183,Naivasha,Moisbridge,1000,2019-08-28,Naivasha,Moisbridge,48.0
